1|2|Florida in My Soul|20673_721298|721298
2|4|A Friend Like You|20673_717170_1|717170
3|5|Pete Seeger in Paradise|20673_715989_1|715989
4|6|The Deadbeat|20673_721293|721293
5|7|Florida's Child|20673_721294|721294
6|8|Writing the Florida Folk Song|20673_626837_1|626837
7|9|Tea at the Negresco|20673_721297|721297
8|3|Our Wild Florida|20673_626838_2|626838
9|10|One Sweet Song|20673_626839_2|626839
10|11|I'll Sing You Love|20673_716143_1|716143
11|12|Florida Birds|20673_721296|721296
12|13|Florida, This State I'm In|20673_721295|721295
