0|Ormond Beach, Florida|David Roth, with Dan Gribbin opening|Jan 15 2016|0
1|Eustis, Florida|Lake County Folk Festival|Oct 11 2015|1
2|Eustis, Florida|Lake County Folk Festival|Oct 10 2015|2
3|New Smyrna Beach, Florida|Open Mike at Artisan Gardens|Oct  1 2015|3
4|Ormond Beach, Florida|Mia dona Market (Restaurant)|Jul 10 2015|4
5|Osteen, Florida|Osteen Diner|Jan 24 2015|5
6|Barberville, Florida|Barberville Fall Jamboree|Nov  1 2014|6
7|Eustis, Florida|Olivia's Coffeehouse in Eustis|Sep 25 2014|7
8|Ormond Beach, Florida|Pete Seeger Tribute, Unitarian Universalist Society|Sep  7 2014|8
9|Ormond Beach, Florida|Sunday Morning UU Service|Aug 31 2014|9
10|Barberville, Florida|Barberville Spring Folic|Mar 29 2014|10
11|Ormond Beach, Florida|Unitarian Universalist Society (Ormond Beach)|Jan 22 2014|11
12|Holly Hill, Florida|Halifax River Audubon, Sica Hall|Dec 16 2013|12
13|Summerfield, Florida|Unitarian Universalist Fellowship, Marion Country|Nov 24 2013|13
14|White Springs, Florida|Florida Folk Festival|May 24 2013|14
15|Osteen, Florida|Osteen Diner|May 18 2013|15
16|Ormond Beach, Florida|CD Release Party|Mar 22 2013|16
17|Brooksville, Florida|Will McLean Music Festival|Mar 11 2012|17
18|Brooksville, Florida|Will McLean Music Festival|Mar 10 2012|18
19|Brooksville, Florida|Will McLean Music Festival|Mar  9 2012|19
20|Ormond Beach, Florida|Riverfest at Rockefeller Gardens|Nov 19 2011|20
21|Barberville Pioneer Settlement, Florida|Barberville Fall Jamboree|Nov  5 2011|21
22|Eustis, Florida|Lake County Folk Festival|Oct  9 2011|22
23|Eustis, Florida|Lake County Folk Festival|Oct  8 2011|23
24|Winter Park, Florida|Fingerstyle Guitar Concert|Jul 10 2011|24
25|White Springs, Florida|Florida Folk Festival|May 27 2011|25
26|Ormond Beach, Florida|Unitarian Universalist Society of Daytona Beach|May 14 2011|26
27|Barberville, Florida|Barberville Spring Frolic|Apr 17 2011|27
28|Barberville, Florida|Barberville Spring Frolic|Apr 16 2011|28
29|Brooksville, Florida|Will McLean Festival|Mar 13 2011|29
30|Brooksville, Florida|Will McLean Festival|Mar 12 2011|30
31|Summerfield, Florida|Unitarian Universalist Fellowship of Marion County|Nov 28 2010|31
32|Ormond Beach, Florida|Ormond Riverfest|Nov 21 2010|32
33|Ormond Beach, Florida|Riverfest at Rockefeller Gardens|Nov 20 2010|33
34|Youngstown, Ohio|First Unitarian Church of Youngstown Ohio|Oct 16 2010|34
35|Ferrum, Virginia|Ferrum College|Oct  7 2010|35
36|Ormond Beach, Florida|Ormond Beach Farmer's Market|Apr  1 2010|36
37|Eustis, Florida|Olivia's Coffeehouse & Bistro|Feb 25 2010|37
38|Daytona Beach, Florida|Breakers Oceanfront Park|Feb 12 2010|38
39|Eustis, Florida|Lake Eustis Folk|Jan 16 2010|39
40|Ormond Beach, Florida|Riverfest at Rockefeller Gardens|Nov 22 2009|40
41|Eustis, Florida|Olivia's Coffeehouse|Sep 26 2009|41
42|Port Orange, Florida|Java Jungle Coffee Bar|Jun 20 2009|42
43|Casselberry, Florida|The Music Shack|Jun 19 2009|43
44|Ormond Beach, Florida|Concert for Mother Earth (at Ormond UU Society)|Apr 24 2009|44
45|Inglis, Florida|Will McLean Festival|Apr  5 2009|45
46|Ormond Beach, Florida|Unitarian Universalist Concert:  Dan opens for Jim Scott|Mar 28 2009|46
47|Daytona Beach, Florida|The Daily Grind|Mar 20 2009|47
48|Eustis, Florida|Friends of Florida Folk FOFF Fest 2009|Jan 31 2009|48
49|Ormond Beach, Florida|Cuvee Oceanside Wine and Tapas Restaurant|Jan 25 2009|49
50|Ormond Beach, Florida|Cuvee Oceanside Wine and Tapas Restaurant|Jan 20 2009|50
51|Orlando, Florida|Langford Park|Dec 14 2008|51
52|Daytona Beach, Florida|Angell & Phelps Cafe|Dec  5 2008|52
53|Daytona Beach, Florida|Hollywood Cantina|Nov 28 2008|53
54|Port Orange, Florida|Java Jungle Coffee Bar|Nov 22 2008|54
55|Port Orange, Florida|Brooklyn Ice Caffe|Oct 31 2008|55
56|Port Orange, Florida|Java Jungle|Oct  4 2008|56
57|Port Orange, Florida|Brooklyn Ice Caffe|Oct  3 2008|57
58|Port Orange, Florida|Brooklyn Ice Cafe|Sep 12 2008|58
59|Port Orange, Florida|Java Jungle|Aug 30 2008|59
60|Lake Helen, Florida|Lake Helen Coffee & Tea|Jul 25 2008|60
61|Port Orange, Florida|Sorrento's Pizza & Deli|Jul 23 2008|61
62|Port Orange, Florida|Java Jungle Coffee Bar|Jul 12 2008|62
63|Port Orange, Florida|Sorrento's Pizza and Deli|Jul  2 2008|63
64|Daytona Beach, Florida|Hot Spot Coffee Shoppe|Jun 28 2008|64
65|Port Orange, Florida|Sorrento's Pizza and Deli|May 21 2008|65
66|Port Orange, Florida|Sorrento's Pizza and Deli|May  7 2008|66
67|Port Orange, Florida|Sorrento's Pizza & Deli|Apr 23 2008|67
68|Dunnellon, Florida|Will McLean Folk Festival|Apr  6 2008|68
69|Dunnellon, Florida|Will McLean Folk Festival|Apr  4 2008|69
70|Daytona Beach, Florida|Private Art Show|Feb 24 2008|70
71|Ormond Beach, Florida|Open Mike at The Book Store in Ormond|Feb  2 2008|71
72|Ormond Beach, Florida|The Book Store in Ormond|Jan 30 2008|72
73|Eustis, Florida|Lake Eustis Art Show|Jan 26 2008|73
74|Port Orange, Florida|Sorrento Pizza and Deli|Jan 19 2008|74
75|Ormond Beach, Florida|Open Mike at The Book Store in Ormond|Jan  5 2008|75
76|Orlando, Florida|Leu Gardens|Dec 30 2007|76
77|Ormond Beach, Florida|SSA Christmas Program|Dec 18 2007|77
78|Pomona Park, Florida|Lou's Little Ponderosa|Dec  8 2007|78
79|Ormond Beach, Florida|Open Mike at The Book Store in Ormond|Dec  1 2007|79
80|Ormond Beach, Florida|The Book Store at Ormond|Oct 27 2007|80
81|Ormond Beach, Florida|Tomoka State Park|Oct  6 2007|81
82|Orlando, Florida|Infusion Tea|Sep 22 2007|82
83|Ormond Beach, Florida|MusicFest 2007|Sep  8 2007|83
